Помещение 1
————————————————————————————————————————————————————————————————————————————————————————————————————————————————
Дата | Температура_входного_воздуха | Температура_охлаждающего_потока | Температура | Поток_охлаждающего_воздуха

24.06.2022 18:22:00 | 16,47 | 20 | 30,28 | 0
24.06.2022 18:22:01 | 15,81 | 20 | 30,94 | 0
24.06.2022 18:22:02 | 14,97 | 20 | 30,3 | 2
24.06.2022 18:22:03 | 15,58 | 20 | 30,91 | 2
24.06.2022 18:22:04 | 15,98 | 20 | 29,83 | 2
24.06.2022 18:22:05 | 16,61 | 20 | 30,46 | 2
24.06.2022 18:22:06 | 15,94 | 20 | 29,65 | 2
24.06.2022 18:22:07 | 16 | 20 | 29,71 | 2
24.06.2022 18:22:08 | 15,53 | 20 | 29,19 | 1
24.06.2022 18:22:09 | 15,02 | 20 | 29,7 | 1
24.06.2022 18:22:10 | 14,19 | 20 | 29,54 | 1
24.06.2022 18:22:11 | 14,19 | 20 | 29,69 | 1
24.06.2022 18:22:12 | 14,19 | 20 | 29,07 | 1
24.06.2022 18:22:13 | 14,19 | 20 | 30 | 1
24.06.2022 18:22:14 | 14,42 | 20 | 29,24 | 1
24.06.2022 18:22:15 | 14,43 | 20 | 29,25 | 1
24.06.2022 18:22:16 | 14,43 | 20 | 29,02 | 1
24.06.2022 18:22:17 | 15,03 | 20 | 29,62 | 1
24.06.2022 18:22:18 | 15,4 | 20 | 29 | 1
24.06.2022 18:22:19 | 14,55 | 20 | 29,85 | 1
24.06.2022 18:22:20 | 14,8 | 20 | 29,11 | 1
24.06.2022 18:22:21 | 14,8 | 20 | 29,87 | 1
24.06.2022 18:22:22 | 15,21 | 20 | 29,29 | 1
24.06.2022 18:22:23 | 16,02 | 20 | 30,1 | 1
24.06.2022 18:22:24 | 15,62 | 20 | 29,02 | 2
24.06.2022 18:22:25 | 16,3 | 20 | 29,7 | 2
24.06.2022 18:22:26 | 15,47 | 20 | 29,54 | 1
24.06.2022 18:22:27 | 15,26 | 20 | 29,75 | 1
24.06.2022 18:22:28 | 14,66 | 20 | 29,36 | 1
24.06.2022 18:22:29 | 14,66 | 20 | 30 | 1
24.06.2022 18:22:30 | 15,05 | 20 | 29,4 | 1
24.06.2022 18:22:31 | 14,97 | 20 | 29,48 | 1
24.06.2022 18:22:32 | 15,7 | 20 | 29,22 | 1
24.06.2022 18:22:33 | 14,72 | 20 | 30,2 | 1
24.06.2022 18:22:34 | 15,16 | 20 | 29,16 | 2
24.06.2022 18:22:35 | 16,12 | 20 | 30,12 | 2
24.06.2022 18:22:36 | 15,95 | 20 | 28,81 | 2
24.06.2022 18:22:37 | 16 | 20 | 28,86 | 2
24.06.2022 18:22:38 | 16,26 | 20 | 28,13 | 1
24.06.2022 18:22:39 | 16,17 | 20 | 28,22 | 1
24.06.2022 18:22:40 | 17,08 | 20 | 28,73 | 0
24.06.2022 18:22:41 | 16,33 | 20 | 29,48 | 0
24.06.2022 18:22:42 | 17,14 | 20 | 29,88 | 0
24.06.2022 18:22:43 | 17,97 | 20 | 30,71 | 0
24.06.2022 18:22:44 | 17,63 | 20 | 30,6 | 0
24.06.2022 18:22:45 | 18,59 | 20 | 31,56 | 0
24.06.2022 18:22:46 | 18,94 | 20 | 31,45 | 0
24.06.2022 18:22:47 | 18,79 | 20 | 31,6 | 0
24.06.2022 18:22:48 | 18 | 20 | 31,92 | 0
24.06.2022 18:22:49 | 18,68 | 20 | 32,6 | 0
24.06.2022 18:22:50 | 18,1 | 20 | 32,71 | 0

================================================================================================================

Помещение 2
————————————————————————————————————————————————————————————————————————————————————————————————————————————————
Дата | Температура_входного_воздуха | Температура_охлаждающего_потока | Температура | Поток_охлаждающего_воздуха

24.06.2022 18:22:00 | 21,51 | 20 | 27,51 | 0
24.06.2022 18:22:01 | 22 | 20 | 28 | 0
24.06.2022 18:22:02 | 21,57 | 20 | 27,44 | 1
24.06.2022 18:22:03 | 22,38 | 20 | 28,25 | 1
24.06.2022 18:22:04 | 22,14 | 20 | 27,5 | 1
24.06.2022 18:22:05 | 22,11 | 20 | 27,53 | 1
24.06.2022 18:22:06 | 22,01 | 20 | 26,64 | 1
24.06.2022 18:22:07 | 22,85 | 20 | 27,48 | 1
24.06.2022 18:22:08 | 23,02 | 20 | 26,66 | 1
24.06.2022 18:22:09 | 23,34 | 20 | 26,98 | 1
24.06.2022 18:22:10 | 24,25 | 20 | 26,9 | 1
24.06.2022 18:22:11 | 25,02 | 20 | 27,67 | 1
24.06.2022 18:22:12 | 25,02 | 20 | 27,23 | 1
24.06.2022 18:22:13 | 24,39 | 20 | 27,86 | 1
24.06.2022 18:22:14 | 24,42 | 20 | 26,9 | 1
24.06.2022 18:22:15 | 23,9 | 20 | 27,42 | 1
24.06.2022 18:22:16 | 23,15 | 20 | 27,18 | 1
24.06.2022 18:22:17 | 22,67 | 20 | 27,66 | 1
24.06.2022 18:22:18 | 23,34 | 20 | 27,34 | 1
24.06.2022 18:22:19 | 22,98 | 20 | 27,7 | 1
24.06.2022 18:22:20 | 22,38 | 20 | 27,31 | 1
24.06.2022 18:22:21 | 21,82 | 20 | 27,87 | 1
24.06.2022 18:22:22 | 22,41 | 20 | 27,47 | 1
24.06.2022 18:22:23 | 22,81 | 20 | 27,87 | 1
24.06.2022 18:22:24 | 23,44 | 20 | 27,51 | 1
24.06.2022 18:22:25 | 23,32 | 20 | 27,63 | 1
24.06.2022 18:22:26 | 23,61 | 20 | 26,93 | 1
24.06.2022 18:22:27 | 23,61 | 20 | 26,93 | 1
24.06.2022 18:22:28 | 24,3 | 20 | 26,63 | 1
24.06.2022 18:22:29 | 23,99 | 20 | 26,94 | 1
24.06.2022 18:22:30 | 24,98 | 20 | 26,94 | 1
24.06.2022 18:22:31 | 25,08 | 20 | 27,04 | 1
24.06.2022 18:22:32 | 25,08 | 20 | 26,28 | 1
24.06.2022 18:22:33 | 25,08 | 20 | 26,4 | 1
24.06.2022 18:22:34 | 24,76 | 20 | 25,73 | 1
24.06.2022 18:22:35 | 25,36 | 20 | 26,33 | 1
24.06.2022 18:22:36 | 25,31 | 20 | 25,39 | 1
24.06.2022 18:22:37 | 25,31 | 20 | 25,66 | 1
24.06.2022 18:22:38 | 25,31 | 20 | 25,61 | 1
24.06.2022 18:22:39 | 24,6 | 20 | 26,32 | 1
24.06.2022 18:22:40 | 23,94 | 20 | 26,37 | 0
24.06.2022 18:22:41 | 23,65 | 20 | 26,66 | 0
24.06.2022 18:22:42 | 24,2 | 20 | 26,62 | 0
24.06.2022 18:22:43 | 23,44 | 20 | 27,38 | 0
24.06.2022 18:22:44 | 24,01 | 20 | 27,37 | 0
24.06.2022 18:22:45 | 23,18 | 20 | 28,2 | 0
24.06.2022 18:22:46 | 24,09 | 20 | 28,53 | 0
24.06.2022 18:22:47 | 23,75 | 20 | 28,87 | 0
24.06.2022 18:22:48 | 24,25 | 20 | 28,78 | 0
24.06.2022 18:22:49 | 24,32 | 20 | 28,85 | 0
24.06.2022 18:22:50 | 25 | 20 | 28,92 | 0

================================================================================================================

Помещение 3
————————————————————————————————————————————————————————————————————————————————————————————————————————————————
Дата | Температура_входного_воздуха | Температура_охлаждающего_потока | Температура | Поток_охлаждающего_воздуха

24.06.2022 18:22:00 | 21,82 | 20 | 47,29 | 0
24.06.2022 18:22:01 | 22,6 | 20 | 48,07 | 0
24.06.2022 18:22:02 | 23,54 | 20 | 46,05 | 5
24.06.2022 18:22:03 | 23,23 | 20 | 46,36 | 5
24.06.2022 18:22:04 | 24,22 | 20 | 44,39 | 5
24.06.2022 18:22:05 | 25,16 | 20 | 45,33 | 5
24.06.2022 18:22:06 | 24,33 | 20 | 43,2 | 5
24.06.2022 18:22:07 | 24,72 | 20 | 43,59 | 5
24.06.2022 18:22:08 | 24,28 | 20 | 41,08 | 5
24.06.2022 18:22:09 | 24,4 | 20 | 41,2 | 5
24.06.2022 18:22:10 | 24,78 | 20 | 38,63 | 5
24.06.2022 18:22:11 | 24,99 | 20 | 38,84 | 5
24.06.2022 18:22:12 | 25,17 | 20 | 37,04 | 3
24.06.2022 18:22:13 | 25,17 | 20 | 37,45 | 3
24.06.2022 18:22:14 | 25,17 | 20 | 35,83 | 3
24.06.2022 18:22:15 | 25,17 | 20 | 35,94 | 3
24.06.2022 18:22:16 | 25,17 | 20 | 34,28 | 3
24.06.2022 18:22:17 | 24,25 | 20 | 35,2 | 3
24.06.2022 18:22:18 | 24,8 | 20 | 33,78 | 3
24.06.2022 18:22:19 | 25,64 | 20 | 34,62 | 3
24.06.2022 18:22:20 | 25,64 | 20 | 33,21 | 2
24.06.2022 18:22:21 | 25,64 | 20 | 33,58 | 2
24.06.2022 18:22:22 | 25,64 | 20 | 32,35 | 2
24.06.2022 18:22:23 | 24,91 | 20 | 33,08 | 2
24.06.2022 18:22:24 | 25,67 | 20 | 32,36 | 2
24.06.2022 18:22:25 | 25,67 | 20 | 32,64 | 2
24.06.2022 18:22:26 | 25,67 | 20 | 31,28 | 2
24.06.2022 18:22:27 | 25,67 | 20 | 32,01 | 2
24.06.2022 18:22:28 | 25,67 | 20 | 31,34 | 2
24.06.2022 18:22:29 | 25,67 | 20 | 31,63 | 2
24.06.2022 18:22:30 | 25,67 | 20 | 30,96 | 2
24.06.2022 18:22:31 | 25,67 | 20 | 31,33 | 2
24.06.2022 18:22:32 | 25,63 | 20 | 29,89 | 2
24.06.2022 18:22:33 | 25,63 | 20 | 30,6 | 2
24.06.2022 18:22:34 | 25,63 | 20 | 29,17 | 2
24.06.2022 18:22:35 | 25,58 | 20 | 29,22 | 2
24.06.2022 18:22:36 | 25,58 | 20 | 28,6 | 1
24.06.2022 18:22:37 | 25,58 | 20 | 29,19 | 1
24.06.2022 18:22:38 | 25,58 | 20 | 29,18 | 0
24.06.2022 18:22:39 | 25,58 | 20 | 30,14 | 0
24.06.2022 18:22:40 | 25,58 | 20 | 29,86 | 0
24.06.2022 18:22:41 | 25,58 | 20 | 29,92 | 0
24.06.2022 18:22:42 | 25,58 | 20 | 29,69 | 0
24.06.2022 18:22:43 | 25,21 | 20 | 30,06 | 0
24.06.2022 18:22:44 | 25,21 | 20 | 30,41 | 0
24.06.2022 18:22:45 | 24,36 | 20 | 31,26 | 0
24.06.2022 18:22:46 | 23,79 | 20 | 31,22 | 0
24.06.2022 18:22:47 | 24,42 | 20 | 31,85 | 0
